('PA', 'APPROVAZIONE PROGETTO', 'APPR. PROG.', '4'),
('PC', 'PRECISAZIONE CONCLUSIONI', 'PREC. CONCL.', '3'),
('PD', 'PROGETTO', 'PROG', '3'),
('PE', 'STOP', 'STOP', '5'),
('PF', 'PAUSA', 'PAUSA', '-'),
('PG', 'STALLO', 'STALLO', '0'),
('PH', 'STOP', 'STOP', '5'),
('PM', 'STALLO', 'STALLO', '0'),
('R0', 'RISERVATO', 'RIS', '-'),
('R1', 'PRESIDENZIALE', 'PRES', '3'),
('R2', 'PRESIDENZIALE', 'PRES', '3'),
('R3', 'UDIENZA GIUDICE', 'UD. GIUD', '3'),
('R4', 'RISERVATO', 'RIS', '-'),
('R5', 'RISERVATO', 'RIS', '-'),
('R6', 'RISERVATO', 'RIS', '-'),
('R7', 'PRESIDENZIALE', 'PRES', '3'),
('R8', 'UDIENZA COLLEGIO', 'UD. COLL', '3'),
('R9', 'PAUSA', 'PAUSA', '-'),
('RA', 'PRESIDENZIALE', 'PRES', '3'),
('RD', 'STALLO', 'STALLO', '0'),
('RE', 'STOP', 'STOP', '5'),
('RG', 'STOP', 'STOP', '5'),
('RI', 'STOP', 'STOP', '5'),
('RM', 'RISERVATO', 'RIS', '-'),
('RO', 'STOP', 'STOP', '5'),
('RR', 'RESTART', 'REST', '-'),
('RS', 'RISERVATO', 'RIS', '-'),
('RV', 'RISERVATO', 'RIS', '-'),
('RY', 'STOP', 'STOP', '5'),
('RZ', 'RESTART', 'REST', '-'),
('S1', 'CORREZIONE', 'CORR', '-'),
('S2', 'CORREZIONE', 'CORR', '-'),
('S3', 'DEPOSITO ISTANZA', 'DEP. IST', '2'),
('S4', 'UDIENZA REVOCA', 'UD. REV', '3'),
('SA', 'GIURAMENTO', 'GIUR', '3'),
('SB', 'PAUSA', 'PAUSA', '-'),
('SC', 'GIURAMENTO', 'GIUR', '3'),
('SE', 'PAUSA', 'PAUSA', '-'),
('SF', 'STALLO', 'STALLO', '0'),
('SH', 'GIURAMENTO', 'GIUR', '3'),
('SJ', 'CORREZIONE', 'CORR', '-'),
('SK', 'ASSEGNAZIONE', 'ASS', '2'),
('SO', 'STOP', 'STOP', '5'),
('T1', 'PRESIDENZIALE', 'PRES', '3'),
('T2', 'PRESIDENZIALE', 'PRES', '3'),
('T3', 'UDIENZA GIUDICE', 'UD. GIUD', '3'),
('T4', 'ISPEZIONE', 'ISP', '3'),
('TC', 'RESTART', 'REST', '-'),
('TE', 'STOP', 'STOP', '5'),
('TG', 'RESTART', 'REST', '-'),
('TI', 'RESTART', 'REST', '-'),
('TN', 'STOP', 'STOP', '5'),
('U1', 'ISTRUTTORIA', 'ISTR', '3'),
('U2', 'CONCILIAZIONE', 'CONC', '3'),
('UC', 'CONVALIDA', 'CONV', '3'),
('UI', 'ISTRUTTORIA', 'ISTR', '3'),
('UP', 'PRESIDENZIALE', 'PRES', '3'),
('UR', 'UDIENZA GIUDICE', 'UD. GIUD', '3'),
('UT', 'TRATTAZIONE', 'TRATT', '3'),
('UV', 'PROGETTO', 'PROG', '3'),
('VB', 'STOP', 'STOP', '5'),
('ZM', 'CORREZIONE', 'CORR', '-'),
('ZZ', 'CORREZIONE', 'CORR', '-')
